2596,gi|6325077|ref|NP_015145.1|,"Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin; Tco89p [Saccharom",799,88845,8.1,o,Q,TCO89,YPL180W,XVI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,2,0,1,2,2,1.63,0.00002391,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000024,1,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.88,0.00002546,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000025,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2597,gi|154199602|ref|NP_009774.2|,"Highly charged, basic protein required for normal cell-cycle regulation of histone gene transcription; mutants display strong synthetic defects with subunits of FACT, a complex that allows RNA Pol II to elongate through nucleosomes; Hpc2p [Saccharomyces c",625,67776,9.2,o,Q,HPC2,YBR215W,II,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,2.08,0.00001528,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000015,1,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.04,0.00003255,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000033,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2598,gi|6323636|ref|NP_013707.1|,Basic leucine zipper (bZIP) transcription factor required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; mediates resistance to cadmium; Yap1p [Saccharomy,650,72533,5,o,Q,YAP1,YML007W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.85,0.00001481,X,X,X,X,X,X,X,X,0.000015,1,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.46,0.0000313,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000031,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2599,gi|6324255|ref|NP_014325.1|,Serine-rich protein of unknown function; overproduction suppresses the growth inhibition caused by exposure to the immunosuppressant leflunomide; Mlf3p [Saccharomyces cerevisiae] ,452,49210,7.8,o,Q,MLF3,YNL074C,XIV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.2,0.00002145,0.000021,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.65,0.00002103,0.000021,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2600,gi|6324779|ref|NP_014848.1|,Protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays decreased frequency of mitochondrial genome loss and severe growth defect in minimal glycerol media; Lrc5p [Saccharomyces,556,63854,9.3,o,Q,LRC5,YOR205C,XV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.98,0.00001756,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000018,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.6,0.0000183,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000018,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2601,gi|6322840|ref|NP_012913.1|,"U1 snRNP protein involved in splicing, interacts with the branchpoint-binding protein during the formation of the second commitment complex; Prp40p [Saccharomyces cerevisiae] ",583,69065,8.9,o,Q,PRP40,YKL012W,XI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.57,0.00001651,X,X,X,X,X,X,X,X,0.000017,1,1,1,0,1,1,1,2.23,0.00001543,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000015,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2602,gi|6325299|ref|NP_015367.1|,"Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins; Puf2p [Saccharomyces cerevisiae] ",1075,119508,8.8,o,Q,PUF2,YPR042C,XVI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.58,0.00000896,X,X,X,X,X,X,X,X,0.000009,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,2,0,2,2,2,3.91,0.00002182,X,X,X,X,X,X,X,X,0.000022,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2603,gi|6325338|ref|NP_015406.1|,"Protein with sequence similarity to Grs1p, which is a glycyl-tRNA synthetase; cannot substitute for Grs1p; possible pseudogene that is expressed at very low levels; Grs2p [Saccharomyces cerevisiae] ",618,71019,7.5,o,Q,GRS2,YPR081C,XVI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.88,0.00001558,X,X,X,X,X,X,X,X,0.000016,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.75,0.00001538,0.000015,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2604,gi|6323551|ref|NP_013622.1|,"F-box receptor protein, subunit of the Skp1-Cdc53-F-box receptor (SCF) E3 ubiquitin ligase complex; binds to phosphorylated Ho endonuclease, allowing its ubiquitylation by SCF and subsequent degradation; Ufo1p [Saccharomyces cerevisiae] ",668,76860,5.4,o,Q,UFO1,YML088W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,2.1,0.0000143,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000014,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.69,0.00001523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000015,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2605,gi|6323720|ref|NP_013791.1|,Essential subunit of the histone deacetylase Rpd3S complex; interacts with Eaf3p; Rco1p [Saccharomyces cerevisiae] ,684,78836,8.8,o,Q,RCO1,YMR075W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.75,0.00001408,X,X,X,X,X,X,X,X,0.000014,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.07,0.0000139,0.000014,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2606,gi|6321998|ref|NP_012074.1|,Alpha mannosidase-like protein of the endoplasmic reticulum required for degradation of glycoproteins but not for processing of N-linked oligosaccharides; Mnl1p [Saccharomyces cerevisiae] ,796,91246,5.1,o,S,MNL1,YHR204W,VIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.14,0.00001226,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000012,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.76,0.00001194,0.000012,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2607,gi|6320301|ref|NP_010381.1|,JmjC domain-containing histone demethylase; transcription factor involved in the expression of genes during nutrient limitation; also involved in the negative regulation of DPP1 and PHR1; Gis1p [Saccharomyces cerevisiae] ,894,99481,7.5,o,Q,GIS1,YDR096W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,1.45,0.00001068,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000011,1,1,1,0,1,1,1,1.34,0.00001006,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00001,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2608,gi|6320850|ref|NP_010929.1|,"DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes; Prp22p [Saccharomyces cerevisia",1145,130010,7.8,o,Q,PRP22,YER013W,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.4,0.00000841,X,X,X,X,X,X,X,X,0.000008,1,1,1,0,1,1,1,1.31,0.00000785,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000008,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2609,gi|6320422|ref|NP_010502.1|,"Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization; Adr1p [Saccharomyces cerevisia",1323,150941,6.7,o,Q,ADR1,YDR216W,IV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.44,0.00000733,0.000007,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.13,0.00000769,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000008,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2610,gi|6324491|ref|NP_014560.1|,"GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, has similarity to Ira1p and human neurofibromin; Ira2p [Saccharomy",3079,351669,7.1,o,Q,IRA2,YOL081W,XV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,0.49,0.0000031,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000003,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,0.49,0.0000033,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000003,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2611,gi|6323863|ref|NP_013934.1|,"Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis; Hfa1p [Saccharomyces cerevisiae] ",2123,241784,8,o,Q,HFA1,YMR207C,XIII,1,5,5,0,0,0,0.42,X,1,4,4,0,0,0,0.42,X,1,6,6,0,0,0,0.42,X,2,7,7,0,0,0,1.04,X,0,0,2,3,3,0,0,0,0.94,X,1,2,2,0,0,0,0.42,X,X,X,X,X,X,X,X,X,1,4,4,0,0,0,0.42,X,0,0,1,7,7,0,0,0,0.42,X,1,4,4,0,0,0,0.42,X,X,X,X,X,X,X,X,X,2,5,5,0,0,0,0.94,X,0,0,3,3,2,1,1,1.029850746,2.26,0.00000463,1,2,2,0,0,0,0.42,X,1,2,2,0,0,0,0.42,X,1,3,3,0,0,0,0.42,X,0.000005,1,1,7,7,0,0,0,0.42,X,2,8,8,0,0,0,0.94,X,2,4,4,0,0,0,0.94,X,2,7,6,1,1,1.05,1.6,0.0000047,0.000005,1,1,2,2,0,0,0,0.42,X,1,2,2,0,0,0,0.42,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,,
2612,gi|37362620|ref|NP_009680.2|,Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region; Mrpl36p [Saccharomyces cerevisiae] ,177,20091,9.7,o,Q,MRPL36,YBR122C,II,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,2,2,0,2,2,2,10.73,0.00010792,1,1,0,1,1,1,14.69,0.00005515,2,3,0,2,3,3,10.73,0.00016319,1,3,0,1,3,3,10.73,0.00016436,0.000123,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,10.73,0.00009919,0.000099,1,,
2613,gi|6321842|ref|NP_011918.1|,"Subunit VI of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels; Cox6p [Saccharomyces cerevisiae] ",148,17342,6,o,Q,COX6,YHR051W,VIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,3,3,0,3,3,3,20.27,0.0001936,1,1,0,1,1,1,12.84,0.00006595,1,1,0,1,1,1,8.78,0.00006506,2,4,0,2,4,4,10.81,0.00026209,0.000147,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,10.81,0.00005931,0.000059,1,,
2614,gi|6323518|ref|NP_013589.1|,"Putative RNA-binding protein, based on computational analysis of large-scale protein-protein interaction data; Nab6p [Saccharomyces cerevisiae] ",1134,126139,7,o,Q,NAB6,YML117W,XIII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,1.68,0.00000842,1,2,0,1,2,2,1.23,0.00001722,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.23,0.00000855,0.000011,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,1.23,0.00000772,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000008,1,,
2615,gi|6322715|ref|NP_012788.1|,"Mitochondrial intermediate peptidase, cleaves N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis; Oct1p [Saccharomyces cerevis",770,87997,7.6,o,Q,1-Oct,YKL134C,XI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.21,0.00001259,0.000013,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,2.08,0.00001138,1,1,0,1,1,1,2.21,0.00001157,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.38,0.0000114,0.000011,3,,
2616,gi|6319490|ref|NP_009572.1|,"Plasma membrane protein of unknown function; has similarity to hydrophilins, which are hydrophilic, glycine-rich proteins involved in the adaptive response to hyperosmotic conditions; Ybr016wp [Saccharomyces cerevisiae] ",128,14617,7.2,o,Q,,YBR016W,II,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,1,2,0,1,2,2,14.06,0.00015252,X,X,X,X,X,X,X,X,1,1,0,1,1,1,14.06,0.00007576,0.000114,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,14.06,0.00006858,0.000069,1,,
2617,gi|6320987|ref|NP_011066.1|,Putative protein of unknown function; YER139C has been shown to be required for growth at high temperatures; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; Rtr1p [Saccharomyces cerevisiae] ,226,26240,4.9,o,Q,RTR1,YER139C,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,6.64,0.00008521,1,1,0,1,1,1,3.98,0.00004291,0.000064,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,1,1,0,1,1,1,6.19,0.00003876,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000039,1,,
2618,gi|37362652|ref|NP_011490.2|,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor; Pgd1p [Sacchar,397,43079,8.7,o,Q,PGD1,YGL025C,VII,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,5.79,0.0000485,1,1,0,1,1,1,5.79,0.00002443,0.000036,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.27,0.00002211,0.000022,1,,
2619,gi|6322875|ref|NP_012948.1|,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; Ykr023wp [Saccharomyces cerevisiae] ",530,60799,6.9,o,Q,,YKR023W,XI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,2,3,0,2,3,3,6.6,0.00005525,1,1,0,1,1,1,4.15,0.00001817,X,X,X,X,X,X,X,X,0.000037,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.83,0.00001656,0.000017,1,,
